--- OpenAI-ES Training Log for Bypass=True ---
Gen 40 (ES) | Pop: 128 | Sigma: 0.127 | Time: 7.61s | Cur: 1446.55W (S:27.50%) | Std: 9295.47 | Best: 1418.18W
Gen 41 (ES) | Pop: 128 | Sigma: 0.129 | Time: 7.61s | Cur: 1361.45W (S:25.00%) | Std: 9789.02 | Best: 1361.45W
Gen 42 (ES) | Pop: 128 | Sigma: 0.124 | Time: 7.53s | Cur: 1418.18W (S:27.50%) | Std: 9462.85 | Best: 1361.45W
Gen 43 (ES) | Pop: 128 | Sigma: 0.127 | Time: 7.57s | Cur: 1446.55W (S:27.50%) | Std: 10954.15 | Best: 1361.45W
Gen 44 (ES) | Pop: 128 | Sigma: 0.129 | Time: 7.74s | Cur: 1389.82W (S:27.50%) | Std: 9170.87 | Best: 1361.45W
Gen 45 (ES) | Pop: 128 | Sigma: 0.132 | Time: 7.47s | Cur: 1389.82W (S:26.25%) | Std: 10660.57 | Best: 1361.45W
Gen 46 (ES) | Pop: 128 | Sigma: 0.134 | Time: 7.84s | Cur: 1361.45W (S:25.83%) | Std: 8608.71 | Best: 1361.45W
Gen 47 (ES) | Pop: 128 | Sigma: 0.137 | Time: 7.43s | Cur: 1446.55W (S:29.17%) | Std: 9617.51 | Best: 1361.45W
Gen 48 (ES) | Pop: 128 | Sigma: 0.140 | Time: 7.53s | Cur: 1418.18W (S:28.33%) | Std: 11117.74 | Best: 1361.45W
Gen 49 (ES) | Pop: 128 | Sigma: 0.143 | Time: 7.64s | Cur: 1446.55W (S:27.50%) | Std: 10407.01 | Best: 1361.45W
Gen 50 (ES) | Pop: 128 | Sigma: 0.145 | Time: 7.70s | Cur: 1361.45W (S:25.00%) | Std: 11223.23 | Best: 1361.45W
Gen 51 (ES) | Pop: 128 | Sigma: 0.148 | Time: 7.88s | Cur: 1418.18W (S:27.92%) | Std: 9411.12 | Best: 1361.45W
Gen 52 (ES) | Pop: 128 | Sigma: 0.151 | Time: 7.61s | Cur: 1418.18W (S:26.25%) | Std: 10932.22 | Best: 1361.45W
Gen 53 (ES) | Pop: 128 | Sigma: 0.154 | Time: 7.86s | Cur: 1389.82W (S:26.25%) | Std: 10883.06 | Best: 1361.45W
Gen 54 (ES) | Pop: 128 | Sigma: 0.157 | Time: 7.56s | Cur: 1418.18W (S:26.25%) | Std: 11457.15 | Best: 1361.45W
Gen 55 (ES) | Pop: 128 | Sigma: 0.161 | Time: 7.70s | Cur: 1389.82W (S:26.25%) | Std: 10317.89 | Best: 1361.45W
Gen 56 (ES) | Pop: 128 | Sigma: 0.164 | Time: 7.63s | Cur: 1389.82W (S:28.75%) | Std: 10687.69 | Best: 1361.45W
Gen 57 (ES) | Pop: 128 | Sigma: 0.167 | Time: 7.57s | Cur: 1361.45W (S:25.83%) | Std: 10755.26 | Best: 1361.45W
Gen 58 (ES) | Pop: 128 | Sigma: 0.170 | Time: 7.66s | Cur: 1361.45W (S:24.58%) | Std: 10649.40 | Best: 1361.45W
Gen 59 (ES) | Pop: 128 | Sigma: 0.169 | Time: 7.71s | Cur: 1418.18W (S:28.75%) | Std: 11017.07 | Best: 1361.45W
Gen 60 (ES) | Pop: 128 | Sigma: 0.172 | Time: 8.03s | Cur: 1446.55W (S:26.67%) | Std: 9973.02 | Best: 1361.45W
Gen 61 (ES) | Pop: 128 | Sigma: 0.176 | Time: 7.81s | Cur: 1418.18W (S:29.17%) | Std: 11837.18 | Best: 1361.45W
