--- OpenAI-ES Training Log for Bypass=True ---
Gen 48 (ES) | Pop: 64 | Time: 19.06s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 49 (ES) | Pop: 64 | Time: 19.40s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 50 (ES) | Pop: 64 | Time: 19.38s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 51 (ES) | Pop: 64 | Time: 19.57s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 52 (ES) | Pop: 64 | Time: 19.31s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 53 (ES) | Pop: 64 | Time: 19.25s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 54 (ES) | Pop: 64 | Time: 19.24s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 55 (ES) | Pop: 64 | Time: 19.28s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 56 (ES) | Pop: 64 | Time: 22.76s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 57 (ES) | Pop: 64 | Time: 22.12s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 58 (ES) | Pop: 64 | Time: 20.43s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 59 (ES) | Pop: 64 | Time: 20.13s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 60 (ES) | Pop: 64 | Time: 19.74s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 61 (ES) | Pop: 64 | Time: 19.55s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 62 (ES) | Pop: 64 | Time: 19.84s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 63 (ES) | Pop: 64 | Time: 19.43s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 64 (ES) | Pop: 64 | Time: 19.40s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 65 (ES) | Pop: 64 | Time: 24.83s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 66 (ES) | Pop: 64 | Time: 25.56s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 67 (ES) | Pop: 64 | Time: 20.12s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 68 (ES) | Pop: 64 | Time: 19.61s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 69 (ES) | Pop: 64 | Time: 19.90s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 70 (ES) | Pop: 64 | Time: 19.88s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 71 (ES) | Pop: 64 | Time: 20.89s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 72 (ES) | Pop: 64 | Time: 21.01s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 73 (ES) | Pop: 64 | Time: 20.50s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 74 (ES) | Pop: 64 | Time: 19.86s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 75 (ES) | Pop: 64 | Time: 20.00s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 76 (ES) | Pop: 64 | Time: 20.00s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 77 (ES) | Pop: 64 | Time: 19.92s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 78 (ES) | Pop: 64 | Time: 20.03s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 79 (ES) | Pop: 64 | Time: 21.09s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 80 (ES) | Pop: 64 | Time: 20.11s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 81 (ES) | Pop: 64 | Time: 20.06s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 82 (ES) | Pop: 64 | Time: 20.10s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 83 (ES) | Pop: 64 | Time: 20.32s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 84 (ES) | Pop: 64 | Time: 20.30s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 85 (ES) | Pop: 64 | Time: 20.12s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 86 (ES) | Pop: 64 | Time: 19.97s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 87 (ES) | Pop: 64 | Time: 19.95s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 88 (ES) | Pop: 64 | Time: 20.33s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 89 (ES) | Pop: 64 | Time: 20.12s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 90 (ES) | Pop: 64 | Time: 20.29s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 91 (ES) | Pop: 64 | Time: 20.41s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 92 (ES) | Pop: 64 | Time: 20.69s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 93 (ES) | Pop: 64 | Time: 20.36s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 94 (ES) | Pop: 64 | Time: 20.38s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 95 (ES) | Pop: 64 | Time: 20.41s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
