--- OpenAI-ES Training Log for Bypass=True ---
Gen 42 (ES) | Pop: 128 | Sigma: 0.179 | Time: 34.08s | Cur: 101.17W (S:5.83%) | Std: 37.74 | Best: 101.17W
Gen 43 (ES) | Pop: 128 | Sigma: 0.183 | Time: 36.82s | Cur: 101.17W (S:5.83%) | Std: 42.39 | Best: 101.17W
Gen 44 (ES) | Pop: 128 | Sigma: 0.187 | Time: 38.09s | Cur: 101.17W (S:5.83%) | Std: 25.98 | Best: 101.17W
Gen 45 (ES) | Pop: 128 | Sigma: 0.190 | Time: 38.13s | Cur: 101.17W (S:5.83%) | Std: 45.95 | Best: 101.17W
Gen 46 (ES) | Pop: 128 | Sigma: 0.194 | Time: 34.83s | Cur: 101.17W (S:5.83%) | Std: 33.89 | Best: 101.17W
Gen 47 (ES) | Pop: 128 | Sigma: 0.198 | Time: 36.24s | Cur: 101.17W (S:5.83%) | Std: 28.77 | Best: 101.17W
Gen 48 (ES) | Pop: 128 | Sigma: 0.202 | Time: 34.84s | Cur: 101.17W (S:5.83%) | Std: 26.55 | Best: 101.17W
Gen 49 (ES) | Pop: 128 | Sigma: 0.206 | Time: 36.23s | Cur: 101.17W (S:5.83%) | Std: 40.53 | Best: 101.17W
Gen 50 (ES) | Pop: 128 | Sigma: 0.210 | Time: 35.23s | Cur: 101.17W (S:5.83%) | Std: 29.97 | Best: 101.17W
Gen 51 (ES) | Pop: 128 | Sigma: 0.214 | Time: 35.52s | Cur: 101.17W (S:5.83%) | Std: 36.41 | Best: 101.17W
Gen 52 (ES) | Pop: 128 | Sigma: 0.219 | Time: 35.79s | Cur: 101.17W (S:5.83%) | Std: 33.91 | Best: 101.17W
Gen 53 (ES) | Pop: 128 | Sigma: 0.223 | Time: 35.61s | Cur: 101.17W (S:5.83%) | Std: 30.58 | Best: 101.17W
Gen 54 (ES) | Pop: 128 | Sigma: 0.227 | Time: 33.94s | Cur: 101.17W (S:5.83%) | Std: 35.99 | Best: 101.17W
Gen 55 (ES) | Pop: 128 | Sigma: 0.232 | Time: 36.39s | Cur: 101.17W (S:5.83%) | Std: 32.51 | Best: 101.17W
Gen 56 (ES) | Pop: 128 | Sigma: 0.237 | Time: 35.96s | Cur: 101.17W (S:5.83%) | Std: 29.72 | Best: 101.17W
Gen 57 (ES) | Pop: 128 | Sigma: 0.241 | Time: 36.70s | Cur: 101.17W (S:5.83%) | Std: 37.38 | Best: 101.17W
Gen 58 (ES) | Pop: 128 | Sigma: 0.246 | Time: 40.36s | Cur: 101.17W (S:5.83%) | Std: 34.27 | Best: 101.17W
Gen 59 (ES) | Pop: 128 | Sigma: 0.250 | Time: 36.70s | Cur: 101.17W (S:5.83%) | Std: 39.84 | Best: 101.17W
Gen 60 (ES) | Pop: 128 | Sigma: 0.250 | Time: 36.80s | Cur: 101.17W (S:5.83%) | Std: 48.33 | Best: 101.17W
Gen 61 (ES) | Pop: 128 | Sigma: 0.250 | Time: 34.88s | Cur: 101.17W (S:5.83%) | Std: 903.78 | Best: 101.17W
Gen 62 (ES) | Pop: 128 | Sigma: 0.250 | Time: 35.66s | Cur: 101.17W (S:5.83%) | Std: 33.31 | Best: 101.17W
Gen 63 (ES) | Pop: 128 | Sigma: 0.250 | Time: 35.48s | Cur: 101.17W (S:5.83%) | Std: 35.17 | Best: 101.17W
Gen 64 (ES) | Pop: 128 | Sigma: 0.250 | Time: 35.02s | Cur: 101.17W (S:5.83%) | Std: 36.59 | Best: 101.17W
Gen 65 (ES) | Pop: 128 | Sigma: 0.250 | Time: 35.52s | Cur: 101.17W (S:5.83%) | Std: 41.95 | Best: 101.17W
Gen 66 (ES) | Pop: 128 | Sigma: 0.250 | Time: 35.96s | Cur: 101.17W (S:5.83%) | Std: 44.03 | Best: 101.17W
Gen 67 (ES) | Pop: 128 | Sigma: 0.250 | Time: 40.48s | Cur: 101.17W (S:5.83%) | Std: 32.83 | Best: 101.17W
