--- OpenAI-ES Training Log for Bypass=True ---
Gen 41 (ES) | Pop: 128 | Sigma: 0.144 | Time: 7.63s | Cur: 737.45W (S:10.83%) | Std: 43.53 | Best: 709.09W
Gen 42 (ES) | Pop: 128 | Sigma: 0.147 | Time: 7.83s | Cur: 737.45W (S:10.83%) | Std: 42.37 | Best: 709.09W
Gen 43 (ES) | Pop: 128 | Sigma: 0.150 | Time: 7.40s | Cur: 737.45W (S:11.25%) | Std: 47.91 | Best: 709.09W
Gen 44 (ES) | Pop: 128 | Sigma: 0.153 | Time: 7.57s | Cur: 737.45W (S:11.25%) | Std: 34.20 | Best: 709.09W
Gen 45 (ES) | Pop: 128 | Sigma: 0.156 | Time: 7.51s | Cur: 737.45W (S:10.83%) | Std: 44.96 | Best: 709.09W
Gen 46 (ES) | Pop: 128 | Sigma: 0.159 | Time: 7.72s | Cur: 737.45W (S:11.25%) | Std: 48.32 | Best: 709.09W
Gen 47 (ES) | Pop: 128 | Sigma: 0.163 | Time: 7.38s | Cur: 737.45W (S:10.83%) | Std: 47.36 | Best: 709.09W
Gen 48 (ES) | Pop: 128 | Sigma: 0.166 | Time: 7.92s | Cur: 737.45W (S:10.83%) | Std: 36.91 | Best: 709.09W
Gen 49 (ES) | Pop: 128 | Sigma: 0.169 | Time: 7.99s | Cur: 737.45W (S:10.83%) | Std: 47.34 | Best: 709.09W
Gen 50 (ES) | Pop: 128 | Sigma: 0.173 | Time: 7.63s | Cur: 737.45W (S:10.83%) | Std: 48.61 | Best: 709.09W
Gen 51 (ES) | Pop: 128 | Sigma: 0.176 | Time: 7.55s | Cur: 737.45W (S:10.83%) | Std: 43.21 | Best: 709.09W
Gen 52 (ES) | Pop: 128 | Sigma: 0.180 | Time: 7.41s | Cur: 737.45W (S:10.83%) | Std: 48.08 | Best: 709.09W
Gen 53 (ES) | Pop: 128 | Sigma: 0.183 | Time: 7.69s | Cur: 737.45W (S:10.83%) | Std: 53.79 | Best: 709.09W
Gen 54 (ES) | Pop: 128 | Sigma: 0.187 | Time: 7.57s | Cur: 737.45W (S:10.83%) | Std: 74.98 | Best: 709.09W
Gen 55 (ES) | Pop: 128 | Sigma: 0.191 | Time: 7.46s | Cur: 737.45W (S:10.83%) | Std: 72.02 | Best: 709.09W
Gen 56 (ES) | Pop: 128 | Sigma: 0.194 | Time: 7.73s | Cur: 737.45W (S:10.83%) | Std: 75.32 | Best: 709.09W
Gen 57 (ES) | Pop: 128 | Sigma: 0.198 | Time: 7.72s | Cur: 737.45W (S:11.25%) | Std: 66.86 | Best: 709.09W
Gen 58 (ES) | Pop: 128 | Sigma: 0.202 | Time: 7.63s | Cur: 737.45W (S:10.83%) | Std: 58.01 | Best: 709.09W
Gen 59 (ES) | Pop: 128 | Sigma: 0.206 | Time: 7.67s | Cur: 737.45W (S:11.25%) | Std: 57.84 | Best: 709.09W
Gen 60 (ES) | Pop: 128 | Sigma: 0.210 | Time: 7.62s | Cur: 709.09W (S:11.67%) | Std: 107.73 | Best: 709.09W
Gen 61 (ES) | Pop: 128 | Sigma: 0.215 | Time: 7.77s | Cur: 737.45W (S:10.83%) | Std: 76.40 | Best: 709.09W
Gen 62 (ES) | Pop: 128 | Sigma: 0.219 | Time: 7.71s | Cur: 737.45W (S:10.83%) | Std: 60.03 | Best: 709.09W
Gen 63 (ES) | Pop: 128 | Sigma: 0.223 | Time: 7.92s | Cur: 737.45W (S:10.83%) | Std: 77.63 | Best: 709.09W
Gen 64 (ES) | Pop: 128 | Sigma: 0.228 | Time: 7.70s | Cur: 737.45W (S:10.83%) | Std: 92.97 | Best: 709.09W
Gen 65 (ES) | Pop: 128 | Sigma: 0.232 | Time: 7.76s | Cur: 737.45W (S:10.83%) | Std: 111.78 | Best: 709.09W
Gen 66 (ES) | Pop: 128 | Sigma: 0.237 | Time: 7.55s | Cur: 737.45W (S:10.83%) | Std: 70.84 | Best: 709.09W
Gen 67 (ES) | Pop: 128 | Sigma: 0.242 | Time: 7.84s | Cur: 737.45W (S:10.83%) | Std: 109.81 | Best: 709.09W
Gen 68 (ES) | Pop: 128 | Sigma: 0.247 | Time: 8.18s | Cur: 709.09W (S:11.25%) | Std: 127.04 | Best: 709.09W
Gen 69 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.71s | Cur: 737.45W (S:11.67%) | Std: 97.53 | Best: 709.09W
Gen 70 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.55s | Cur: 709.09W (S:11.25%) | Std: 98.15 | Best: 709.09W
Gen 71 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.72s | Cur: 709.09W (S:11.67%) | Std: 906.60 | Best: 709.09W
Gen 72 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.78s | Cur: 737.45W (S:10.83%) | Std: 101.60 | Best: 709.09W
Gen 73 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.78s | Cur: 737.45W (S:10.83%) | Std: 93.90 | Best: 709.09W
Gen 74 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.85s | Cur: 737.45W (S:11.25%) | Std: 86.87 | Best: 709.09W
Gen 75 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.52s | Cur: 737.45W (S:11.25%) | Std: 1290.60 | Best: 709.09W
Gen 76 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.92s | Cur: 737.45W (S:10.83%) | Std: 81.19 | Best: 709.09W
Gen 77 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.56s | Cur: 737.45W (S:10.83%) | Std: 75.64 | Best: 709.09W
Gen 78 (ES) | Pop: 128 | Sigma: 0.150 | Time: 7.41s | Cur: 850.91W (S:15.00%) | Std: 1275.31 | Best: 709.09W
Gen 79 (ES) | Pop: 128 | Sigma: 0.153 | Time: 7.77s | Cur: 822.55W (S:15.83%) | Std: 4567.54 | Best: 709.09W
Gen 80 (ES) | Pop: 128 | Sigma: 0.156 | Time: 7.44s | Cur: 850.91W (S:14.58%) | Std: 143.42 | Best: 709.09W
Gen 81 (ES) | Pop: 128 | Sigma: 0.159 | Time: 7.74s | Cur: 794.18W (S:13.75%) | Std: 134.64 | Best: 709.09W
Gen 82 (ES) | Pop: 128 | Sigma: 0.162 | Time: 7.68s | Cur: 794.18W (S:12.50%) | Std: 109.61 | Best: 709.09W
Gen 83 (ES) | Pop: 128 | Sigma: 0.166 | Time: 7.69s | Cur: 737.45W (S:12.08%) | Std: 113.22 | Best: 709.09W
Gen 84 (ES) | Pop: 128 | Sigma: 0.169 | Time: 8.21s | Cur: 765.82W (S:14.17%) | Std: 106.90 | Best: 709.09W
Gen 85 (ES) | Pop: 128 | Sigma: 0.172 | Time: 7.78s | Cur: 765.82W (S:13.33%) | Std: 96.24 | Best: 709.09W
Gen 86 (ES) | Pop: 128 | Sigma: 0.176 | Time: 7.46s | Cur: 765.82W (S:11.67%) | Std: 113.21 | Best: 709.09W
Gen 87 (ES) | Pop: 128 | Sigma: 0.179 | Time: 7.56s | Cur: 765.82W (S:11.25%) | Std: 105.38 | Best: 709.09W
Gen 88 (ES) | Pop: 128 | Sigma: 0.183 | Time: 7.70s | Cur: 737.45W (S:11.25%) | Std: 99.47 | Best: 709.09W
Gen 89 (ES) | Pop: 128 | Sigma: 0.187 | Time: 7.73s | Cur: 765.82W (S:11.25%) | Std: 94.07 | Best: 709.09W
Gen 90 (ES) | Pop: 128 | Sigma: 0.190 | Time: 7.51s | Cur: 765.82W (S:11.25%) | Std: 109.38 | Best: 709.09W
Gen 91 (ES) | Pop: 128 | Sigma: 0.194 | Time: 7.80s | Cur: 765.82W (S:11.67%) | Std: 110.80 | Best: 709.09W
Gen 92 (ES) | Pop: 128 | Sigma: 0.198 | Time: 8.09s | Cur: 765.82W (S:11.25%) | Std: 114.77 | Best: 709.09W
Gen 93 (ES) | Pop: 128 | Sigma: 0.202 | Time: 7.47s | Cur: 765.82W (S:11.25%) | Std: 113.10 | Best: 709.09W
Gen 94 (ES) | Pop: 128 | Sigma: 0.206 | Time: 7.68s | Cur: 765.82W (S:11.25%) | Std: 79.00 | Best: 709.09W
Gen 95 (ES) | Pop: 128 | Sigma: 0.210 | Time: 7.31s | Cur: 765.82W (S:11.25%) | Std: 101.77 | Best: 709.09W
Gen 96 (ES) | Pop: 128 | Sigma: 0.214 | Time: 7.33s | Cur: 737.45W (S:11.25%) | Std: 112.55 | Best: 709.09W
Gen 97 (ES) | Pop: 128 | Sigma: 0.219 | Time: 7.53s | Cur: 737.45W (S:11.25%) | Std: 85.03 | Best: 709.09W
Gen 98 (ES) | Pop: 128 | Sigma: 0.223 | Time: 7.48s | Cur: 737.45W (S:11.25%) | Std: 85.87 | Best: 709.09W
Gen 99 (ES) | Pop: 128 | Sigma: 0.227 | Time: 7.54s | Cur: 737.45W (S:11.25%) | Std: 86.59 | Best: 709.09W
Gen 100 (ES) | Pop: 128 | Sigma: 0.232 | Time: 7.55s | Cur: 737.45W (S:11.25%) | Std: 90.47 | Best: 709.09W
