--- OpenAI-ES Training Log for Bypass=True ---
Gen 41 (ES) | Pop: 128 | Sigma: 0.250 | Time: 45.47s | Cur: 2103.64W (S:37.86%) | Std: 72.12 | Best: 2103.64W
Gen 42 (ES) | Pop: 128 | Sigma: 0.247 | Time: 51.08s | Cur: 2127.27W (S:37.86%) | Std: 62.05 | Best: 2103.64W
Gen 43 (ES) | Pop: 128 | Sigma: 0.250 | Time: 46.76s | Cur: 2103.64W (S:37.14%) | Std: 58.61 | Best: 2103.64W
Gen 44 (ES) | Pop: 128 | Sigma: 0.247 | Time: 46.40s | Cur: 2127.27W (S:36.19%) | Std: 66.82 | Best: 2103.64W
Gen 45 (ES) | Pop: 128 | Sigma: 0.250 | Time: 46.39s | Cur: 2127.27W (S:37.62%) | Std: 64.34 | Best: 2103.64W
Gen 46 (ES) | Pop: 128 | Sigma: 0.250 | Time: 47.71s | Cur: 2127.27W (S:37.86%) | Std: 62.57 | Best: 2103.64W
Gen 47 (ES) | Pop: 128 | Sigma: 0.250 | Time: 49.34s | Cur: 2127.27W (S:40.24%) | Std: 61.71 | Best: 2103.64W
Gen 48 (ES) | Pop: 128 | Sigma: 0.250 | Time: 49.24s | Cur: 2150.91W (S:36.67%) | Std: 56.45 | Best: 2103.64W
Gen 49 (ES) | Pop: 128 | Sigma: 0.250 | Time: 52.12s | Cur: 2103.64W (S:35.24%) | Std: 66.01 | Best: 2103.64W
Gen 50 (ES) | Pop: 128 | Sigma: 0.247 | Time: 52.54s | Cur: 2127.27W (S:40.95%) | Std: 59.69 | Best: 2103.64W
Gen 51 (ES) | Pop: 128 | Sigma: 0.250 | Time: 51.57s | Cur: 2127.27W (S:35.95%) | Std: 65.87 | Best: 2103.64W
Gen 52 (ES) | Pop: 128 | Sigma: 0.250 | Time: 47.29s | Cur: 2127.27W (S:35.71%) | Std: 61.64 | Best: 2103.64W
Gen 53 (ES) | Pop: 128 | Sigma: 0.250 | Time: 47.05s | Cur: 2103.64W (S:35.24%) | Std: 62.56 | Best: 2103.64W
Gen 54 (ES) | Pop: 128 | Sigma: 0.250 | Time: 52.42s | Cur: 2127.27W (S:36.90%) | Std: 61.40 | Best: 2103.64W
Gen 55 (ES) | Pop: 128 | Sigma: 0.250 | Time: 47.60s | Cur: 2127.27W (S:36.43%) | Std: 61.40 | Best: 2103.64W
Gen 56 (ES) | Pop: 128 | Sigma: 0.250 | Time: 52.99s | Cur: 2080.00W (S:37.38%) | Std: 70.88 | Best: 2080.00W
Gen 57 (ES) | Pop: 128 | Sigma: 0.247 | Time: 49.17s | Cur: 2127.27W (S:35.48%) | Std: 57.36 | Best: 2080.00W
Gen 58 (ES) | Pop: 128 | Sigma: 0.250 | Time: 50.86s | Cur: 2127.27W (S:38.33%) | Std: 68.07 | Best: 2080.00W
Gen 59 (ES) | Pop: 128 | Sigma: 0.250 | Time: 46.28s | Cur: 2127.27W (S:37.14%) | Std: 57.72 | Best: 2080.00W
