--- OpenAI-ES Training Log for Bypass=True ---
Gen 42 (ES) | Pop: 128 | Sigma: 0.171 | Time: 25.38s | Cur: 72.26W (S:4.17%) | Std: 23.43 | Best: 72.26W
Gen 43 (ES) | Pop: 128 | Sigma: 0.174 | Time: 25.05s | Cur: 72.26W (S:4.17%) | Std: 21.59 | Best: 72.26W
Gen 44 (ES) | Pop: 128 | Sigma: 0.178 | Time: 25.05s | Cur: 72.26W (S:4.17%) | Std: 17.27 | Best: 72.26W
Gen 45 (ES) | Pop: 128 | Sigma: 0.181 | Time: 24.64s | Cur: 72.26W (S:4.17%) | Std: 17.01 | Best: 72.26W
Gen 46 (ES) | Pop: 128 | Sigma: 0.185 | Time: 25.50s | Cur: 72.26W (S:4.17%) | Std: 16.02 | Best: 72.26W
Gen 47 (ES) | Pop: 128 | Sigma: 0.188 | Time: 25.07s | Cur: 72.26W (S:4.17%) | Std: 24.04 | Best: 72.26W
Gen 48 (ES) | Pop: 128 | Sigma: 0.192 | Time: 25.05s | Cur: 72.26W (S:4.17%) | Std: 30.81 | Best: 72.26W
Gen 49 (ES) | Pop: 128 | Sigma: 0.196 | Time: 25.67s | Cur: 72.26W (S:4.17%) | Std: 29.42 | Best: 72.26W
Gen 50 (ES) | Pop: 128 | Sigma: 0.200 | Time: 25.15s | Cur: 72.26W (S:4.17%) | Std: 30.31 | Best: 72.26W
Gen 51 (ES) | Pop: 128 | Sigma: 0.204 | Time: 25.38s | Cur: 72.26W (S:4.17%) | Std: 39.94 | Best: 72.26W
Gen 52 (ES) | Pop: 128 | Sigma: 0.208 | Time: 25.40s | Cur: 72.26W (S:4.17%) | Std: 24.71 | Best: 72.26W
Gen 53 (ES) | Pop: 128 | Sigma: 0.212 | Time: 25.01s | Cur: 72.26W (S:4.17%) | Std: 31.69 | Best: 72.26W
Gen 54 (ES) | Pop: 128 | Sigma: 0.216 | Time: 24.99s | Cur: 72.26W (S:4.17%) | Std: 31.38 | Best: 72.26W
