--- OpenAI-ES Training Log for Bypass=True ---
Gen 42 (ES) | Pop: 128 | Sigma: 0.153 | Time: 248.87s | Cur: 96.35W (S:4.52%) | Std: 65.68 | Best: 66.24W
Gen 43 (ES) | Pop: 128 | Sigma: 0.156 | Time: 243.68s | Cur: 90.33W (S:4.29%) | Std: 56.55 | Best: 66.24W
Gen 44 (ES) | Pop: 128 | Sigma: 0.159 | Time: 255.93s | Cur: 78.29W (S:3.33%) | Std: 54.45 | Best: 66.24W
Gen 45 (ES) | Pop: 128 | Sigma: 0.162 | Time: 250.94s | Cur: 78.29W (S:3.57%) | Std: 61.09 | Best: 66.24W
Gen 46 (ES) | Pop: 128 | Sigma: 0.166 | Time: 256.37s | Cur: 72.26W (S:2.86%) | Std: 51.79 | Best: 66.24W
Gen 47 (ES) | Pop: 128 | Sigma: 0.169 | Time: 257.71s | Cur: 78.29W (S:3.10%) | Std: 57.44 | Best: 66.24W
Gen 48 (ES) | Pop: 128 | Sigma: 0.172 | Time: 266.22s | Cur: 72.26W (S:2.86%) | Std: 46.20 | Best: 66.24W
Gen 49 (ES) | Pop: 128 | Sigma: 0.176 | Time: 269.28s | Cur: 72.26W (S:2.86%) | Std: 50.11 | Best: 66.24W
Gen 50 (ES) | Pop: 128 | Sigma: 0.179 | Time: 266.49s | Cur: 66.24W (S:2.62%) | Std: 49.69 | Best: 66.24W
Gen 51 (ES) | Pop: 128 | Sigma: 0.183 | Time: 264.61s | Cur: 72.26W (S:2.86%) | Std: 53.86 | Best: 66.24W
Gen 52 (ES) | Pop: 128 | Sigma: 0.187 | Time: 265.89s | Cur: 66.24W (S:2.62%) | Std: 56.22 | Best: 66.24W
Gen 53 (ES) | Pop: 128 | Sigma: 0.190 | Time: 264.01s | Cur: 66.24W (S:2.62%) | Std: 59.03 | Best: 66.24W
Gen 54 (ES) | Pop: 128 | Sigma: 0.194 | Time: 277.42s | Cur: 66.24W (S:2.62%) | Std: 56.06 | Best: 66.24W
Gen 55 (ES) | Pop: 128 | Sigma: 0.198 | Time: 274.41s | Cur: 66.24W (S:2.62%) | Std: 55.21 | Best: 66.24W
Gen 56 (ES) | Pop: 128 | Sigma: 0.202 | Time: 272.48s | Cur: 66.24W (S:2.62%) | Std: 53.47 | Best: 66.24W
Gen 57 (ES) | Pop: 128 | Sigma: 0.206 | Time: 278.90s | Cur: 66.24W (S:2.62%) | Std: 54.46 | Best: 66.24W
Gen 58 (ES) | Pop: 128 | Sigma: 0.210 | Time: 278.22s | Cur: 66.24W (S:2.62%) | Std: 58.74 | Best: 66.24W
Gen 59 (ES) | Pop: 128 | Sigma: 0.214 | Time: 274.94s | Cur: 66.24W (S:2.62%) | Std: 57.17 | Best: 66.24W
Gen 60 (ES) | Pop: 128 | Sigma: 0.219 | Time: 268.58s | Cur: 66.24W (S:2.62%) | Std: 57.36 | Best: 66.24W
Gen 61 (ES) | Pop: 128 | Sigma: 0.223 | Time: 271.84s | Cur: 66.24W (S:2.62%) | Std: 50.59 | Best: 66.24W
Gen 62 (ES) | Pop: 128 | Sigma: 0.227 | Time: 273.29s | Cur: 66.24W (S:2.62%) | Std: 44.95 | Best: 66.24W
Gen 63 (ES) | Pop: 128 | Sigma: 0.232 | Time: 268.65s | Cur: 66.24W (S:2.62%) | Std: 48.86 | Best: 66.24W
Gen 64 (ES) | Pop: 128 | Sigma: 0.237 | Time: 282.99s | Cur: 66.24W (S:2.62%) | Std: 41.12 | Best: 66.24W
Gen 65 (ES) | Pop: 128 | Sigma: 0.241 | Time: 276.79s | Cur: 66.24W (S:2.62%) | Std: 54.37 | Best: 66.24W
Gen 66 (ES) | Pop: 128 | Sigma: 0.246 | Time: 282.79s | Cur: 66.24W (S:2.62%) | Std: 54.29 | Best: 66.24W
Gen 67 (ES) | Pop: 128 | Sigma: 0.250 | Time: 279.67s | Cur: 66.24W (S:2.62%) | Std: 42.71 | Best: 66.24W
Gen 68 (ES) | Pop: 128 | Sigma: 0.250 | Time: 273.69s | Cur: 66.24W (S:2.62%) | Std: 49.82 | Best: 66.24W
Gen 69 (ES) | Pop: 128 | Sigma: 0.250 | Time: 291.24s | Cur: 66.24W (S:2.62%) | Std: 36.54 | Best: 66.24W
Gen 70 (ES) | Pop: 128 | Sigma: 0.250 | Time: 290.33s | Cur: 66.24W (S:2.62%) | Std: 46.02 | Best: 66.24W
Gen 71 (ES) | Pop: 128 | Sigma: 0.250 | Time: 287.35s | Cur: 66.24W (S:2.62%) | Std: 47.51 | Best: 66.24W
Gen 72 (ES) | Pop: 128 | Sigma: 0.250 | Time: 285.64s | Cur: 66.24W (S:2.62%) | Std: 34.22 | Best: 66.24W
Gen 73 (ES) | Pop: 128 | Sigma: 0.250 | Time: 287.60s | Cur: 66.24W (S:2.62%) | Std: 38.88 | Best: 66.24W
Gen 74 (ES) | Pop: 128 | Sigma: 0.250 | Time: 277.70s | Cur: 66.24W (S:2.62%) | Std: 38.24 | Best: 66.24W
Gen 75 (ES) | Pop: 128 | Sigma: 0.250 | Time: 280.59s | Cur: 66.24W (S:2.62%) | Std: 38.73 | Best: 66.24W
Gen 76 (ES) | Pop: 128 | Sigma: 0.150 | Time: 218.49s | Cur: 186.68W (S:8.10%) | Std: 25.68 | Best: 66.24W
Gen 77 (ES) | Pop: 128 | Sigma: 0.153 | Time: 222.58s | Cur: 198.73W (S:10.00%) | Std: 28.66 | Best: 66.24W
Gen 78 (ES) | Pop: 128 | Sigma: 0.156 | Time: 231.56s | Cur: 204.75W (S:10.95%) | Std: 28.62 | Best: 66.24W
Gen 79 (ES) | Pop: 128 | Sigma: 0.159 | Time: 233.15s | Cur: 162.59W (S:6.90%) | Std: 33.53 | Best: 66.24W
