--- OpenAI-ES Training Log for Bypass=True ---
Gen 42 (ES) | Pop: 128 | Sigma: 0.250 | Time: 25.01s | Cur: 79.49W (S:4.58%) | Std: 22.37 | Best: 79.49W
Gen 43 (ES) | Pop: 128 | Sigma: 0.250 | Time: 25.76s | Cur: 79.49W (S:4.58%) | Std: 30.88 | Best: 79.49W
Gen 44 (ES) | Pop: 128 | Sigma: 0.250 | Time: 25.52s | Cur: 79.49W (S:4.58%) | Std: 40.31 | Best: 79.49W
Gen 45 (ES) | Pop: 128 | Sigma: 0.250 | Time: 25.20s | Cur: 79.49W (S:4.58%) | Std: 25.34 | Best: 79.49W
Gen 46 (ES) | Pop: 128 | Sigma: 0.250 | Time: 25.44s | Cur: 79.49W (S:4.58%) | Std: 29.38 | Best: 79.49W
Gen 47 (ES) | Pop: 128 | Sigma: 0.250 | Time: 25.53s | Cur: 79.49W (S:4.58%) | Std: 20.19 | Best: 79.49W
Gen 48 (ES) | Pop: 128 | Sigma: 0.150 | Time: 21.73s | Cur: 115.62W (S:7.92%) | Std: 63.04 | Best: 79.49W
Gen 49 (ES) | Pop: 128 | Sigma: 0.153 | Time: 22.95s | Cur: 122.85W (S:8.33%) | Std: 70.21 | Best: 79.49W
Gen 50 (ES) | Pop: 128 | Sigma: 0.156 | Time: 23.26s | Cur: 115.62W (S:7.50%) | Std: 65.41 | Best: 79.49W
Gen 51 (ES) | Pop: 128 | Sigma: 0.159 | Time: 22.89s | Cur: 108.40W (S:8.33%) | Std: 52.87 | Best: 79.49W
Gen 52 (ES) | Pop: 128 | Sigma: 0.162 | Time: 23.21s | Cur: 101.17W (S:6.67%) | Std: 50.07 | Best: 79.49W
Gen 53 (ES) | Pop: 128 | Sigma: 0.166 | Time: 23.30s | Cur: 93.94W (S:7.50%) | Std: 32.89 | Best: 79.49W
Gen 54 (ES) | Pop: 128 | Sigma: 0.169 | Time: 24.00s | Cur: 93.94W (S:7.50%) | Std: 34.24 | Best: 79.49W
Gen 55 (ES) | Pop: 128 | Sigma: 0.172 | Time: 24.47s | Cur: 93.94W (S:7.92%) | Std: 25.12 | Best: 79.49W
Gen 56 (ES) | Pop: 128 | Sigma: 0.176 | Time: 24.62s | Cur: 93.94W (S:7.08%) | Std: 25.64 | Best: 79.49W
Gen 57 (ES) | Pop: 128 | Sigma: 0.179 | Time: 23.96s | Cur: 86.72W (S:7.92%) | Std: 29.27 | Best: 79.49W
Gen 58 (ES) | Pop: 128 | Sigma: 0.183 | Time: 24.82s | Cur: 93.94W (S:6.67%) | Std: 25.74 | Best: 79.49W
Gen 59 (ES) | Pop: 128 | Sigma: 0.187 | Time: 23.52s | Cur: 93.94W (S:6.67%) | Std: 36.12 | Best: 79.49W
Gen 60 (ES) | Pop: 128 | Sigma: 0.190 | Time: 24.78s | Cur: 93.94W (S:6.67%) | Std: 29.39 | Best: 79.49W
Gen 61 (ES) | Pop: 128 | Sigma: 0.194 | Time: 24.66s | Cur: 79.49W (S:6.25%) | Std: 37.91 | Best: 79.49W
Gen 62 (ES) | Pop: 128 | Sigma: 0.198 | Time: 24.77s | Cur: 101.17W (S:7.08%) | Std: 35.72 | Best: 79.49W
Gen 63 (ES) | Pop: 128 | Sigma: 0.202 | Time: 24.78s | Cur: 79.49W (S:7.50%) | Std: 32.74 | Best: 79.49W
Gen 64 (ES) | Pop: 128 | Sigma: 0.206 | Time: 24.60s | Cur: 93.94W (S:6.25%) | Std: 37.10 | Best: 79.49W
Gen 65 (ES) | Pop: 128 | Sigma: 0.210 | Time: 24.67s | Cur: 86.72W (S:7.50%) | Std: 37.82 | Best: 79.49W
Gen 66 (ES) | Pop: 128 | Sigma: 0.214 | Time: 25.18s | Cur: 79.49W (S:7.08%) | Std: 24.11 | Best: 79.49W
Gen 67 (ES) | Pop: 128 | Sigma: 0.219 | Time: 24.52s | Cur: 86.72W (S:7.92%) | Std: 36.53 | Best: 79.49W
Gen 68 (ES) | Pop: 128 | Sigma: 0.223 | Time: 24.61s | Cur: 79.49W (S:7.50%) | Std: 28.57 | Best: 79.49W
Gen 69 (ES) | Pop: 128 | Sigma: 0.227 | Time: 25.18s | Cur: 79.49W (S:5.83%) | Std: 32.70 | Best: 79.49W
Gen 70 (ES) | Pop: 128 | Sigma: 0.232 | Time: 24.79s | Cur: 79.49W (S:5.83%) | Std: 39.65 | Best: 79.49W
Gen 71 (ES) | Pop: 128 | Sigma: 0.237 | Time: 24.82s | Cur: 79.49W (S:8.33%) | Std: 43.23 | Best: 79.49W
Gen 72 (ES) | Pop: 128 | Sigma: 0.241 | Time: 24.70s | Cur: 79.49W (S:6.67%) | Std: 45.19 | Best: 79.49W
Gen 73 (ES) | Pop: 128 | Sigma: 0.246 | Time: 24.61s | Cur: 86.72W (S:5.42%) | Std: 29.24 | Best: 79.49W
Gen 74 (ES) | Pop: 128 | Sigma: 0.250 | Time: 24.67s | Cur: 86.72W (S:5.83%) | Std: 44.74 | Best: 79.49W
Gen 75 (ES) | Pop: 128 | Sigma: 0.250 | Time: 24.97s | Cur: 79.49W (S:7.08%) | Std: 39.94 | Best: 79.49W
Gen 76 (ES) | Pop: 128 | Sigma: 0.250 | Time: 24.77s | Cur: 79.49W (S:6.25%) | Std: 33.25 | Best: 79.49W
Gen 77 (ES) | Pop: 128 | Sigma: 0.250 | Time: 24.49s | Cur: 79.49W (S:6.67%) | Std: 33.66 | Best: 79.49W
