--- OpenAI-ES Training Log for Bypass=True ---
Gen 42 (ES) | Pop: 128 | Sigma: 0.194 | Time: 2.85s | Cur: 522.55W (S:8.33%) | Std: 113.91 | Best: 505.89W
Gen 43 (ES) | Pop: 128 | Sigma: 0.197 | Time: 2.78s | Cur: 560.44W (S:7.92%) | Std: 109.40 | Best: 505.89W
Gen 44 (ES) | Pop: 128 | Sigma: 0.201 | Time: 3.10s | Cur: 505.89W (S:7.92%) | Std: 105.28 | Best: 505.89W
Gen 45 (ES) | Pop: 128 | Sigma: 0.205 | Time: 3.02s | Cur: 522.55W (S:8.33%) | Std: 111.35 | Best: 505.89W
Gen 46 (ES) | Pop: 128 | Sigma: 0.209 | Time: 3.05s | Cur: 522.55W (S:7.92%) | Std: 81.22 | Best: 505.89W
Gen 47 (ES) | Pop: 128 | Sigma: 0.214 | Time: 3.05s | Cur: 505.89W (S:7.50%) | Std: 101.56 | Best: 505.89W
Gen 48 (ES) | Pop: 128 | Sigma: 0.218 | Time: 2.86s | Cur: 522.55W (S:7.92%) | Std: 106.61 | Best: 505.89W
Gen 49 (ES) | Pop: 128 | Sigma: 0.222 | Time: 3.16s | Cur: 505.89W (S:7.50%) | Std: 118.44 | Best: 505.89W
Gen 50 (ES) | Pop: 128 | Sigma: 0.227 | Time: 2.75s | Cur: 522.55W (S:7.92%) | Std: 119.00 | Best: 505.89W
Gen 51 (ES) | Pop: 128 | Sigma: 0.231 | Time: 2.76s | Cur: 505.89W (S:7.92%) | Std: 127.54 | Best: 505.89W
Gen 52 (ES) | Pop: 128 | Sigma: 0.236 | Time: 3.09s | Cur: 505.89W (S:7.50%) | Std: 127.78 | Best: 505.89W
Gen 53 (ES) | Pop: 128 | Sigma: 0.241 | Time: 3.03s | Cur: 505.89W (S:7.92%) | Std: 138.42 | Best: 505.89W
Gen 54 (ES) | Pop: 128 | Sigma: 0.245 | Time: 2.91s | Cur: 522.55W (S:10.00%) | Std: 126.10 | Best: 505.89W
Gen 55 (ES) | Pop: 128 | Sigma: 0.250 | Time: 3.08s | Cur: 489.24W (S:7.50%) | Std: 131.84 | Best: 489.24W
Gen 56 (ES) | Pop: 128 | Sigma: 0.242 | Time: 2.95s | Cur: 505.89W (S:7.50%) | Std: 124.74 | Best: 489.24W
Gen 57 (ES) | Pop: 128 | Sigma: 0.247 | Time: 3.05s | Cur: 505.89W (S:7.92%) | Std: 146.67 | Best: 489.24W
Gen 58 (ES) | Pop: 128 | Sigma: 0.250 | Time: 3.03s | Cur: 522.55W (S:7.92%) | Std: 143.43 | Best: 489.24W
Gen 59 (ES) | Pop: 128 | Sigma: 0.250 | Time: 2.62s | Cur: 505.89W (S:7.92%) | Std: 127.19 | Best: 489.24W
Gen 60 (ES) | Pop: 128 | Sigma: 0.250 | Time: 3.02s | Cur: 539.20W (S:9.58%) | Std: 133.34 | Best: 489.24W
Gen 61 (ES) | Pop: 128 | Sigma: 0.250 | Time: 2.82s | Cur: 505.89W (S:7.92%) | Std: 147.84 | Best: 489.24W
Gen 62 (ES) | Pop: 128 | Sigma: 0.250 | Time: 2.95s | Cur: 505.89W (S:7.92%) | Std: 129.70 | Best: 489.24W
Gen 63 (ES) | Pop: 128 | Sigma: 0.250 | Time: 2.92s | Cur: 505.89W (S:7.50%) | Std: 117.38 | Best: 489.24W
Gen 64 (ES) | Pop: 128 | Sigma: 0.250 | Time: 2.90s | Cur: 505.89W (S:7.50%) | Std: 129.10 | Best: 489.24W
Gen 65 (ES) | Pop: 128 | Sigma: 0.250 | Time: 2.93s | Cur: 505.89W (S:7.92%) | Std: 130.05 | Best: 489.24W
Gen 66 (ES) | Pop: 128 | Sigma: 0.250 | Time: 2.79s | Cur: 489.24W (S:7.08%) | Std: 130.43 | Best: 489.24W
Gen 67 (ES) | Pop: 128 | Sigma: 0.247 | Time: 2.73s | Cur: 505.89W (S:7.50%) | Std: 105.48 | Best: 489.24W
Gen 68 (ES) | Pop: 128 | Sigma: 0.250 | Time: 3.12s | Cur: 505.89W (S:8.33%) | Std: 103.84 | Best: 489.24W
Gen 69 (ES) | Pop: 128 | Sigma: 0.250 | Time: 3.11s | Cur: 489.24W (S:7.08%) | Std: 138.95 | Best: 489.24W
Gen 70 (ES) | Pop: 128 | Sigma: 0.250 | Time: 3.14s | Cur: 489.24W (S:7.08%) | Std: 133.13 | Best: 489.24W
Gen 71 (ES) | Pop: 128 | Sigma: 0.250 | Time: 2.81s | Cur: 505.89W (S:7.50%) | Std: 115.02 | Best: 489.24W
Gen 72 (ES) | Pop: 128 | Sigma: 0.250 | Time: 3.04s | Cur: 505.89W (S:7.50%) | Std: 125.65 | Best: 489.24W
Gen 73 (ES) | Pop: 128 | Sigma: 0.250 | Time: 3.03s | Cur: 489.24W (S:7.08%) | Std: 111.72 | Best: 489.24W
Gen 74 (ES) | Pop: 128 | Sigma: 0.250 | Time: 3.21s | Cur: 489.24W (S:7.08%) | Std: 121.81 | Best: 489.24W
Gen 75 (ES) | Pop: 128 | Sigma: 0.250 | Time: 3.04s | Cur: 489.24W (S:7.08%) | Std: 127.00 | Best: 489.24W
Gen 76 (ES) | Pop: 128 | Sigma: 0.250 | Time: 2.85s | Cur: 489.24W (S:7.08%) | Std: 112.12 | Best: 489.24W
Gen 77 (ES) | Pop: 128 | Sigma: 0.150 | Time: 3.10s | Cur: 681.60W (S:12.50%) | Std: 196.00 | Best: 489.24W
Gen 78 (ES) | Pop: 128 | Sigma: 0.153 | Time: 3.10s | Cur: 660.36W (S:12.08%) | Std: 213.63 | Best: 489.24W
Gen 79 (ES) | Pop: 128 | Sigma: 0.156 | Time: 3.09s | Cur: 577.09W (S:7.08%) | Std: 214.20 | Best: 489.24W
Gen 80 (ES) | Pop: 128 | Sigma: 0.159 | Time: 3.15s | Cur: 593.75W (S:10.42%) | Std: 217.95 | Best: 489.24W
Gen 81 (ES) | Pop: 128 | Sigma: 0.162 | Time: 2.86s | Cur: 560.44W (S:7.92%) | Std: 211.26 | Best: 489.24W
Gen 82 (ES) | Pop: 128 | Sigma: 0.166 | Time: 2.80s | Cur: 560.44W (S:7.50%) | Std: 187.84 | Best: 489.24W
Gen 83 (ES) | Pop: 128 | Sigma: 0.169 | Time: 2.90s | Cur: 489.24W (S:7.50%) | Std: 167.06 | Best: 489.24W
Gen 84 (ES) | Pop: 128 | Sigma: 0.172 | Time: 2.96s | Cur: 539.20W (S:9.58%) | Std: 105.76 | Best: 489.24W
Gen 85 (ES) | Pop: 128 | Sigma: 0.176 | Time: 2.92s | Cur: 539.20W (S:10.83%) | Std: 112.81 | Best: 489.24W
Gen 86 (ES) | Pop: 128 | Sigma: 0.179 | Time: 2.90s | Cur: 505.89W (S:7.92%) | Std: 116.94 | Best: 489.24W
Gen 87 (ES) | Pop: 128 | Sigma: 0.183 | Time: 3.05s | Cur: 505.89W (S:8.75%) | Std: 105.47 | Best: 489.24W
Gen 88 (ES) | Pop: 128 | Sigma: 0.187 | Time: 2.84s | Cur: 543.78W (S:6.67%) | Std: 114.77 | Best: 489.24W
Gen 89 (ES) | Pop: 128 | Sigma: 0.190 | Time: 2.86s | Cur: 543.78W (S:7.08%) | Std: 96.43 | Best: 489.24W
Gen 90 (ES) | Pop: 128 | Sigma: 0.194 | Time: 2.97s | Cur: 560.44W (S:5.83%) | Std: 102.28 | Best: 489.24W
Gen 91 (ES) | Pop: 128 | Sigma: 0.198 | Time: 2.86s | Cur: 539.20W (S:9.58%) | Std: 109.67 | Best: 489.24W
Gen 92 (ES) | Pop: 128 | Sigma: 0.202 | Time: 3.09s | Cur: 489.24W (S:7.08%) | Std: 121.60 | Best: 489.24W
Gen 93 (ES) | Pop: 128 | Sigma: 0.206 | Time: 2.88s | Cur: 489.24W (S:7.50%) | Std: 131.25 | Best: 489.24W
Gen 94 (ES) | Pop: 128 | Sigma: 0.210 | Time: 2.94s | Cur: 489.24W (S:7.50%) | Std: 120.02 | Best: 489.24W
Gen 95 (ES) | Pop: 128 | Sigma: 0.214 | Time: 2.80s | Cur: 505.89W (S:7.50%) | Std: 100.91 | Best: 489.24W
Gen 96 (ES) | Pop: 128 | Sigma: 0.219 | Time: 2.97s | Cur: 522.55W (S:10.00%) | Std: 109.60 | Best: 489.24W
Gen 97 (ES) | Pop: 128 | Sigma: 0.223 | Time: 2.85s | Cur: 505.89W (S:7.50%) | Std: 100.87 | Best: 489.24W
Gen 98 (ES) | Pop: 128 | Sigma: 0.227 | Time: 2.93s | Cur: 489.24W (S:7.50%) | Std: 120.10 | Best: 489.24W
Gen 99 (ES) | Pop: 128 | Sigma: 0.232 | Time: 2.76s | Cur: 489.24W (S:7.08%) | Std: 127.87 | Best: 489.24W
Gen 100 (ES) | Pop: 128 | Sigma: 0.237 | Time: 3.08s | Cur: 505.89W (S:9.17%) | Std: 123.72 | Best: 489.24W
