[Bypass] Ep 46 | Reward: -122.15 | Power: 610.40W | Spec: 0.1458 | Loss: -0.0120 | Ent: 0.0092 | 8.2s
[Bypass] Ep 47 | Reward: -122.15 | Power: 610.40W | Spec: 0.1458 | Loss: -0.0120 | Ent: 0.0092 | 8.3s
[Bypass] Ep 48 | Reward: -122.15 | Power: 610.40W | Spec: 0.1458 | Loss: -0.0120 | Ent: 0.0092 | 8.1s
[Bypass] Ep 49 | Reward: -122.15 | Power: 610.40W | Spec: 0.1458 | Loss: -0.0120 | Ent: 0.0091 | 7.4s
[Bypass] Ep 50 | Reward: -122.15 | Power: 610.40W | Spec: 0.1458 | Loss: -0.0124 | Ent: 0.0091 | 53.7s
[Bypass] Ep 51 | Reward: -125.49 | Power: 627.05W | Spec: 0.1500 | Loss: -0.0124 | Ent: 0.0091 | 7.5s
[Bypass] Ep 52 | Reward: -125.49 | Power: 627.05W | Spec: 0.1500 | Loss: -0.0124 | Ent: 0.0091 | 6.9s
[Bypass] Ep 53 | Reward: -125.49 | Power: 627.05W | Spec: 0.1500 | Loss: -0.0124 | Ent: 0.0091 | 8.4s
[Bypass] Ep 54 | Reward: -125.49 | Power: 627.05W | Spec: 0.1500 | Loss: -0.0124 | Ent: 0.0090 | 8.1s
[Bypass] Ep 55 | Reward: -125.49 | Power: 627.05W | Spec: 0.1500 | Loss: -0.0144 | Ent: 0.0090 | 49.6s
[Bypass] Ep 56 | Reward: -125.49 | Power: 627.05W | Spec: 0.1583 | Loss: -0.0144 | Ent: 0.0090 | 8.4s
[Bypass] Ep 57 | Reward: -117.92 | Power: 589.16W | Spec: 0.1833 | Loss: -0.0144 | Ent: 0.0090 | 8.4s
[Bypass] Ep 58 | Reward: -139.73 | Power: 698.25W | Spec: 0.1500 | Loss: -0.0144 | Ent: 0.0090 | 7.9s
[Bypass] Ep 59 | Reward: -117.92 | Power: 589.16W | Spec: 0.1833 | Loss: -0.0144 | Ent: 0.0090 | 7.8s
[Bypass] Ep 60 | Reward: -117.92 | Power: 589.16W | Spec: 0.1833 | Loss: -0.0111 | Ent: 0.0089 | 51.8s
[Bypass] Ep 61 | Reward: -143.06 | Power: 714.91W | Spec: 0.1500 | Loss: -0.0111 | Ent: 0.0089 | 8.2s
[Bypass] Ep 62 | Reward: -143.06 | Power: 714.91W | Spec: 0.1500 | Loss: -0.0111 | Ent: 0.0089 | 8.4s
[Bypass] Ep 63 | Reward: -143.06 | Power: 714.91W | Spec: 0.1500 | Loss: -0.0111 | Ent: 0.0089 | 8.3s
[Bypass] Ep 64 | Reward: -143.06 | Power: 714.91W | Spec: 0.1500 | Loss: -0.0111 | Ent: 0.0089 | 7.4s
[Bypass] Ep 65 | Reward: -143.06 | Power: 714.91W | Spec: 0.1500 | Loss: -0.0126 | Ent: 0.0088 | 60.2s
